y2016,y2017,y2018,y2019,rank
PE-Peru,AE-United Arab Emirates,AE-United Arab Emirates,"MK-Macedonia, Republic of",1
HU-Hungary,NP-Nepal,MN-Mongolia,KZ-Kazakhstan,2
HR-Croatia,VN-Viet Nam,UZ-Uzbekistan,BH-Bahrain,3
BH-Bahrain,KW-Kuwait,ID-Indonesia,CN-China,4
ID-Indonesia,UG-Uganda,NP-Nepal,BA-Bosnia and Herzegovina,5
VN-Viet Nam,BH-Bahrain,KW-Kuwait,UG-Uganda,6
CN-China,CN-China,UG-Uganda,NP-Nepal,7
BD-Bangladesh,BD-Bangladesh,BH-Bahrain,IN-India,8
IN-India,MN-Mongolia,IN-India,MN-Mongolia,9
MN-Mongolia,IN-India,BD-Bangladesh,BD-Bangladesh,10
